district,component,blocks,populated_blocks,population
001,1,2920,2418,59444
002,1,1736,1357,59744
002,2,1,0,0
002,3,2,1,20
003,1,1475,1170,59720
003,2,4,2,6
003,3,1,1,2
004,1,1022,780,59636
005,1,1444,1130,59348
005,2,1,0,0
005,3,3,3,26
005,4,1,0,0
006,1,2827,2126,59414
006,2,7,5,40
007,1,939,798,59603
008,1,635,500,59362
009,1,616,496,59571
010,1,900,755,59503
011,1,719,629,59565
012,1,667,510,59351
013,1,1198,918,59551
014,1,974,853,59609
015,1,939,744,59349
015,2,1,1,15
015,3,1,0,0
015,4,1,1,12
016,1,962,725,59714
017,1,968,848,59435
018,1,830,720,59346
019,1,618,460,59320
020,1,842,744,59548
021,1,740,666,59592
022,1,1138,869,59466
023,1,1002,863,59383
024,1,1088,839,59699
024,2,1,0,0
024,3,3,1,4
025,1,2248,1679,59455
025,2,1,1,2
025,3,1,1,3
025,4,1,0,0
026,1,1864,1418,59577
026,2,1,1,5
026,3,4,3,58
027,1,2058,1460,59547
027,2,3,2,9
027,3,4,0,0
027,4,2,1,10
027,5,10,7,118
027,6,5,1,1
027,7,6,4,25
027,8,1,0,0
027,9,1,0,0
027,10,1,1,17
028,1,2642,1903,59733
028,2,3,1,3
028,3,1,1,7
028,4,1,0,0
029,1,2632,1991,59251
029,2,2,1,6
029,3,9,8,228
029,4,1,1,7
029,5,1,1,11
029,6,1,1,1
030,1,1524,1160,59507
030,2,1,1,3
030,3,1,1,9
030,4,2,1,3
030,5,3,1,4
030,6,1,1,11
030,7,1,1,1
030,8,1,1,5
030,9,1,1,11
030,10,1,1,9
031,1,1937,1431,59387
031,2,13,12,207
032,1,2282,1800,59547
032,2,6,1,9
033,1,2077,1506,59584
033,2,1,1,7
034,1,4977,2474,59520
035,1,4351,2880,59558
036,1,6114,3576,59441
037,1,2183,1575,59382
037,2,6,0,0
038,1,2214,1520,59618
039,1,2668,1871,59437
039,2,1,0,0
039,3,1,0,0
040,1,3380,2365,59291
040,2,3,3,27
040,3,1,0,0
041,1,3690,2591,59427
041,2,1,0,0
041,3,1,0,0
041,4,1,0,0
041,5,2,1,4
041,6,1,0,0
042,1,3174,2226,59514
042,2,2,2,14
042,3,1,1,2
042,4,2,1,31
042,5,1,1,2
042,6,3,3,15
042,7,2,0,0
042,8,2,1,4
043,1,1864,1456,59634
043,2,2,2,3
043,3,4,2,18
043,4,1,1,1
043,5,1,0,0
043,6,1,1,8
043,7,1,1,21
044,1,1351,1114,59741
044,2,1,0,0
045,1,2224,1791,59655
045,2,1,1,22
045,3,2,1,12
045,4,1,1,3
046,1,1229,902,59291
046,2,5,3,29
046,3,2,0,0
047,1,1050,717,55854
047,2,24,23,998
047,3,1,1,673
047,4,10,0,0
047,5,13,6,520
047,6,4,3,654
047,7,14,0,0
047,8,4,0,0
047,9,35,23,581
047,10,7,1,201
047,11,4,1,5
047,12,1,0,0
047,13,4,1,14
047,14,1,0,0
047,15,3,1,88
047,16,2,1,3
047,17,1,0,0
047,18,1,0,0
048,1,1023,791,59566
048,2,4,4,131
049,1,4285,2970,59708
050,1,4091,2636,59456
051,1,4659,3306,59665
052,1,1761,1268,59571
052,2,2,1,6
052,3,1,1,2
053,1,2146,1514,59371
053,2,4,3,49
053,3,1,1,6
053,4,1,1,12
053,5,2,2,13
053,6,1,1,8
053,7,5,4,43
053,8,2,1,27
053,9,1,0,0
053,10,1,1,2
053,11,1,0,0
053,12,1,1,9
053,13,1,1,5
053,14,1,1,21
053,15,2,1,15
053,16,2,2,8
053,17,1,1,13
053,18,1,1,10
053,19,1,1,13
054,1,1091,868,59596
054,2,1,1,10
054,3,1,0,0
054,4,2,0,0
054,5,1,1,2
055,1,1420,951,59537
056,1,1041,859,59596
057,1,1361,1096,59417
058,1,1068,868,59491
058,2,3,2,16
058,3,5,5,91
058,4,1,1,9
058,5,1,0,0
059,1,2311,1832,59749
059,2,1,0,0
059,3,1,0,0
060,1,1361,1106,59319
060,2,3,1,5
060,3,1,1,10
061,1,1558,1143,59372
061,2,1,0,0
061,3,1,1,4
061,4,1,1,1
061,5,1,1,9
061,6,1,1,7
061,7,1,1,16
062,1,1052,858,59425
063,1,1255,990,59438
063,2,3,3,96
064,1,1064,809,59362
065,1,1115,983,59365
066,1,1045,907,59365
066,2,9,0,0
066,3,2,0,0
067,1,3134,2088,59562
067,2,6,3,16
067,3,1,1,9
067,4,1,1,4
067,5,2,0,0
067,6,1,0,0
068,1,3063,2140,58128
068,2,39,30,1242
068,3,1,1,5
068,4,2,2,9
068,5,2,2,33
068,6,2,1,5
069,1,3280,2377,59347
070,1,3611,2362,59336
070,2,2,0,0
070,3,6,4,63
070,4,3,0,0
070,5,3,1,7
070,6,1,0,0
070,7,3,1,23
070,8,2,1,7
070,9,1,0,0
070,10,1,0,0
071,1,2680,1795,59447
072,1,3369,2474,59524
072,2,1,0,0
073,1,4707,3039,59467
074,1,6955,4211,59587
075,1,3976,2830,59416
076,1,484,369,59664
076,2,2,0,0
077,1,892,697,59361
078,1,787,628,59724
079,1,959,737,59590
079,2,20,9,79
079,3,5,1,5
079,4,2,1,3
079,5,3,0,0
079,6,1,1,10
080,1,1780,1340,59137
080,2,2,1,8
080,3,3,2,18
080,4,1,1,13
080,5,3,1,4
080,6,4,4,55
080,7,1,1,3
080,8,8,4,24
080,9,2,1,2
080,10,1,1,16
080,11,1,1,12
080,12,2,0,0
080,13,4,2,18
080,14,2,0,0
080,15,2,0,0
080,16,1,1,12
080,17,1,0,0
080,18,1,1,1
080,19,1,0,0
080,20,1,1,4
080,21,4,1,11
080,22,1,1,5
080,23,1,1,6
080,24,2,1,1
080,25,2,1,8
080,26,3,2,44
080,27,1,0,0
080,28,1,1,3
080,29,1,0,0
080,30,1,0,0
080,31,1,1,22
080,32,3,3,99
080,33,1,1,3
080,34,1,1,3
080,35,1,1,1
080,36,1,1,7
080,37,2,0,0
080,38,1,0,0
080,39,1,1,15
081,1,2667,1846,59718
081,2,1,0,0
082,1,721,622,59364
083,1,1365,1020,59597
083,2,1,1,9
084,1,793,693,59536
085,1,2042,1611,59672
086,1,2127,1585,59675
086,2,2,1,6
086,3,1,0,0
086,4,1,1,9
086,5,1,1,5
086,6,1,1,3
086,7,2,2,10
087,1,5283,3535,59411
088,1,1005,825,59257
088,2,2,1,16
088,3,8,5,269
089,1,2293,1630,59328
090,1,1048,841,59713
091,1,1327,991,59413
091,2,1,0,0
092,1,5130,3277,59524
093,1,2913,2093,59693
094,1,1825,1247,59581
094,2,2,1,7
094,3,2,1,6
095,1,1589,1073,59479
095,2,1,0,0
095,3,1,0,0
096,1,4614,2880,59312
097,1,1405,1017,59561
097,2,4,3,35
097,3,1,0,0
097,4,2,2,60
097,5,1,1,8
098,1,1062,688,59406
098,2,1,0,0
099,1,1402,973,59642
099,2,5,4,16
099,3,1,0,0
099,4,1,1,19
