district,extra_components,blocks_disconnected,populated_blocks_disconnected,disconnected_population
001,0,0,0,0
002,2,3,1,20
003,2,5,3,8
004,0,0,0,0
005,3,5,3,26
006,1,7,5,40
007,0,0,0,0
008,0,0,0,0
009,0,0,0,0
010,0,0,0,0
011,0,0,0,0
012,0,0,0,0
013,0,0,0,0
014,0,0,0,0
015,3,3,2,27
016,0,0,0,0
017,0,0,0,0
018,0,0,0,0
019,0,0,0,0
020,0,0,0,0
021,0,0,0,0
022,0,0,0,0
023,0,0,0,0
024,2,4,1,4
025,3,3,2,5
026,2,5,4,63
027,9,33,16,180
028,3,5,2,10
029,5,14,12,253
030,9,12,9,56
031,1,13,12,207
032,1,6,1,9
033,1,1,1,7
034,0,0,0,0
035,0,0,0,0
036,0,0,0,0
037,1,6,0,0
038,0,0,0,0
039,2,2,0,0
040,2,4,3,27
041,5,6,1,4
042,7,13,9,68
043,6,10,7,51
044,1,1,0,0
045,3,4,3,37
046,2,7,3,29
047,17,129,61,3737
048,1,4,4,131
049,0,0,0,0
050,0,0,0,0
051,0,0,0,0
052,2,3,2,8
053,18,29,23,254
054,4,5,2,12
055,0,0,0,0
056,0,0,0,0
057,0,0,0,0
058,4,10,8,116
059,2,2,0,0
060,2,4,2,15
061,6,6,5,37
062,0,0,0,0
063,1,3,3,96
064,0,0,0,0
065,0,0,0,0
066,2,11,0,0
067,5,11,5,29
068,5,46,36,1294
069,0,0,0,0
070,9,22,7,100
071,0,0,0,0
072,1,1,0,0
073,0,0,0,0
074,0,0,0,0
075,0,0,0,0
076,1,2,0,0
077,0,0,0,0
078,0,0,0,0
079,5,31,12,97
080,38,70,39,418
081,1,1,0,0
082,0,0,0,0
083,1,1,1,9
084,0,0,0,0
085,0,0,0,0
086,6,8,6,33
087,0,0,0,0
088,2,10,6,285
089,0,0,0,0
090,0,0,0,0
091,1,1,0,0
092,0,0,0,0
093,0,0,0,0
094,2,4,2,13
095,2,2,0,0
096,0,0,0,0
097,4,8,6,103
098,1,1,0,0
099,3,7,5,35
