district,extra_components,blocks_disconnected,populated_blocks_disconnected,disconnected_population
001,4,8,4,28
002,4,12,8,66
003,0,0,0,0
004,0,0,0,0
005,3,3,2,27
006,0,0,0,0
007,0,0,0,0
008,2,4,1,4
009,3,3,2,5
010,0,0,0,0
011,2,14,13,214
012,0,0,0,0
013,3,8,0,0
014,6,12,10,89
015,4,5,4,38
016,10,70,32,2282
017,0,0,0,0
018,0,0,0,0
019,0,0,0,0
020,2,4,1,5
021,7,9,8,133
022,2,11,0,0
023,6,45,34,1265
024,5,7,0,0
025,0,0,0,0
026,0,0,0,0
027,32,81,38,379
028,1,1,1,9
029,1,1,0,0
030,2,10,6,285
031,1,1,0,0
032,0,0,0,0
033,4,8,6,43
